#{"t_start": 1764217514.1654038, "env_id": "CarRacing-v3"}
r,l,t
543.598616,1000,6583.400178
499.15036,880,6591.757668
684.126984,1000,6602.044538
277.021865,443,6606.611964
253.706397,437,6610.90264
55.866667,209,6613.042472
452.238806,1000,6622.617316
478.778135,1000,6632.733699
349.275362,1000,6642.399908
293.939394,1000,6651.764643
888.0,1000,6661.697731
383.679525,1000,6671.536368
605.882353,1000,6681.32157
732.236842,1000,6691.420529
66.089965,1000,6701.01147
338.650307,1000,6711.081424
588.356164,1000,6720.890494
436.33218,1000,6730.533928
490.214067,1000,6740.470475
25.544201,407,6744.329842
209.309309,1000,6754.530299
175.672131,441,6758.940372
38.513514,1000,6768.520171
503.773585,1000,6778.121312
274.570447,1000,6788.253804
335.424354,1000,6797.976969
420.249221,1000,6808.60694
84.027778,1000,6818.597782
790.410959,1000,6828.766532
548.255814,1000,6839.103857
59.090909,1000,6849.667789
220.634921,1000,6859.887147
482.089552,1000,6870.595318
573.400673,1000,6880.653456
833.333333,1000,6890.870338
294.136808,1000,6900.419367
484.19244,1000,6909.741071
885.347985,1000,6919.55125
835.018051,1000,6929.42613
438.922156,1000,6939.333549
855.414013,1000,6949.119824
842.65233,1000,6958.518876
257.142857,1000,6968.590544
401.858736,1000,6977.988709
330.463576,1000,6987.615527
878.723404,1000,6997.236323
57.67451,287,7000.015838
304.458599,1000,7009.817825
846.808511,1000,7019.204604
89.964158,1000,7028.908362
203.289728,382,7032.600233
-12.193651,615,7038.353454
36.857534,379,7041.971329
255.263158,1000,7051.317662
55.538662,230,7053.53069
224.81831,450,7057.934516
868.858131,1000,7067.37721
40.6,235,7069.617279
185.714286,1000,7078.994492
845.859873,1000,7089.040488
685.376471,934,7097.817673
254.3279,627,7103.917866
12.809158,448,7108.244598
387.972509,1000,7117.908915
277.504682,440,7122.519577
13.45015,368,7126.118193
168.257276,724,7133.074506
380.565371,1000,7142.513007
328.571429,1000,7151.92192
418.382353,1000,7161.45656
405.050505,1000,7171.551468
186.579769,430,7175.726989
180.453258,1000,7185.500816
461.837456,1000,7194.774041
230.182918,507,7199.946904
834.615385,1000,7209.708301
59.005415,216,7211.88528
266.336634,1000,7221.777104
846.996466,1000,7231.897226
347.019868,1000,7241.284934
343.223443,1000,7250.633334
560.194175,1000,7260.679259
433.066165,535,7265.895489
92.45283,1000,7275.228739
362.837838,1000,7285.466492
344.078947,1000,7295.060813
305.228758,1000,7304.79184
528.951613,776,7312.471937
130.15873,1000,7321.556297
95.488722,1000,7331.229292
147.747841,580,7336.969804
28.279883,1000,7346.658461
767.346939,1000,7357.919856
222.645399,977,7367.777174
223.26284,1000,7377.817955
674.834437,1000,7387.747142
254.063265,542,7393.025474
364.646465,1000,7402.225413
405.154639,1000,7412.283664
622.222222,1000,7422.124091
435.353535,1000,7431.896966
15.89404,1000,7441.09447
90.47619,1000,7450.751642
231.304437,647,7456.957022
392.125984,1000,7466.094249
349.324324,1000,7475.959571
191.925466,1000,7485.594153
450.610623,722,7492.184041
270.939414,689,7498.536786
114.559387,1000,7508.028216
437.414966,1000,7517.847308
