#{"t_start": 1764011848.044468, "env_id": "CarRacing-v3"}
r,l,t
884.076433,1000,24663.871298
878.494624,1000,24674.140487
53.846154,1000,24689.887346
858.860759,1000,24700.358171
889.932886,1000,24716.717956
886.254296,1000,24726.94848
677.439024,1000,24743.369583
870.037453,1000,24753.897268
896.350365,1000,24770.16869
923.2,768,24778.066746
919.5,805,24792.385821
882.078853,1000,24802.544118
893.127148,1000,24819.049652
298.713826,1000,24829.1877
548.464164,1000,24845.492723
886.30137,1000,24855.706989
869.491525,1000,24872.289551
875.088968,1000,24882.451173
869.594595,1000,24892.901669
800.0,1000,24909.105007
853.488372,1000,24919.476825
548.74552,1000,24936.028169
508.856089,1000,24946.145234
889.43662,1000,24962.457342
896.753247,1000,24972.828454
896.710526,1000,24989.231974
915.0,850,24997.940747
852.380952,1000,25014.255339
873.154362,1000,25024.487246
827.586207,1000,25040.656037
559.793814,1000,25051.186499
747.094801,1000,25067.71287
631.034483,1000,25078.062815
921.3,787,25091.999153
856.386293,1000,25102.436068
819.230769,1000,25118.823885
845.454545,1000,25129.071609
923.4,766,25136.793497
883.333333,1000,25153.369404
736.666667,1000,25163.844249
846.768061,1000,25180.257314
578.284182,1000,25191.154573
880.327869,1000,25207.788369
620.930233,1000,25217.984596
877.564103,1000,25234.54819
892.031873,1000,25244.579313
880.694981,1000,25260.606666
54.716981,1000,25270.385335
568.656716,1000,25287.010253
618.10089,1000,25297.627969
883.552632,1000,25314.238776
868.641115,1000,25324.397188
441.254125,1000,25340.58167
616.049383,1000,25351.238768
49.812734,1000,25367.301282
880.0,1000,25377.703864
880.19802,1000,25393.986886
684.511785,1000,25404.414926
565.467626,1000,25420.977106
394.413408,1000,25431.813734
871.014493,1000,25448.046233
680.730897,1000,25458.476108
56.666667,1000,25475.769418
915.5,845,25484.473383
653.205128,1000,25500.968536
9.929078,1000,25511.315846
610.691824,1000,25528.249953
874.169742,1000,25538.466879
889.010989,1000,25554.799113
52.542373,1000,25564.918816
35.416667,1000,25581.792953
641.818182,1000,25592.469165
692.387543,1000,25602.844291
535.658915,1000,25619.171904
871.014493,1000,25629.479935
920.3,797,25643.618604
871.631206,1000,25654.236805
592.307692,1000,25670.565841
663.636364,1000,25681.426783
901.6,984,25698.565624
779.003559,1000,25709.083539
830.463576,1000,25725.522745
857.198444,1000,25735.807157
740.277778,1000,25752.318611
398.371336,1000,25762.738421
896.69967,1000,25779.449582
675.510204,1000,25789.812616
513.636364,1000,25807.291654
570.682731,1000,25817.558351
892.45283,1000,25834.104048
264.516129,1000,25844.452395
668.060837,1000,25860.962278
889.726027,1000,25871.304078
563.120567,1000,25887.697195
830.769231,1000,25898.040076
69.934641,1000,25915.336878
480.756014,1000,25925.781021
664.505119,1000,25942.268259
883.606557,1000,25952.567394
844.029851,1000,28452.447176
77.852349,1000,28467.632032
875.0,1000,28488.507194
829.328622,1000,28499.970361
788.513514,1000,28516.711956
500.706714,1000,28527.214664
836.241611,1000,28543.863059
833.098592,1000,28554.476724
525.454545,1000,28564.770387
401.805054,1000,28582.319069
856.375839,1000,28592.815402
751.351351,1000,28609.298317
839.929329,1000,28619.846537
626.072607,1000,28636.556457
671.70418,1000,28647.224689
863.210702,1000,28664.4209
420.634921,1000,28674.958682
620.588235,1000,28691.60215
603.071672,1000,28702.456934
361.805556,1000,28718.88128
845.255474,1000,28729.043985
869.111969,1000,28745.24215
853.736655,1000,28755.496359
578.343949,1000,28772.116546
578.688525,1000,28782.622774
928.5,715,28795.836153
857.528958,1000,28805.855133
